Type,Cost,Amount,Coin,Fees,Status,Date,Decode,Exchange
Sell,0.00045497,0.2831,EOS,0.00000045,COMPLETED,"June 17, 2018",BTC,Kucoin
Sell,0.00028685,0.2134,QTUM,0.00000029,COMPLETED,"June 25, 2018",BTC,Kucoin
Buy,0.00028657,5.545,DRGN,0.005545,COMPLETED,"June 26, 2018",BTC,Kucoin
Sell,0.00600254,0.174037,ETC,0.000006,COMPLETED,"June 26, 2018",ETH,Kucoin
Buy,0.00599656,183.3810398,VET,0.18338104,COMPLETED,"August 7, 2018",ETH,Kucoin
Buy,0.00803,174.5652174,VET,0.17456522,COMPLETED,"November 15, 2018",ETH,Kucoin
Buy,0.00013795,0.016423,NANO,0.00001642,COMPLETED,"November 15, 2018",ETH,Kucoin
Buy,0.0918335,10.93256,NANO,0.01093256,COMPLETED,"November 15, 2018",ETH,Kucoin
Buy,3.252,400,ADA,0.00243757,COMPLETED,"November 12, 2018",BNB,Binance
Sell,0.0207586,0.00383,LTC,0.00001557,COMPLETED,"November 12, 2018",BNB,Binance
Sell,6.6124,1.22,LTC,0.0049593,COMPLETED,"November 12, 2018",BNB,Binance
Sell,0.10010156,77.0012,PRL,0.000100102,COMPLETED,"October 25, 2018",ETH,Kucoin
Buy,0.2134,0.086783,QTUM,0,COMPLETED,,NEO,Kucoin
Sell,0.01247126,199.62,VET,0,COMPLETED,14/03/18 5:36,ETH,Kucoin
Sell,0.00076969,12.32,VET,0,COMPLETED,14/03/18 5:36,ETH,Kucoin
Buy,0.01177432,212.15,VET,0,COMPLETED,02/03/18 10:39,ETH,Kucoin
Sell,0.01114684,199.8,VET,0,COMPLETED,01/03/18 6:04,ETH,Kucoin
Buy,0.01165,200,VET,0,COMPLETED,19/01/18 3:05,ETH,Kucoin
Buy,0.005506,911.59,VET,0,COMPLETED,04/02/18 3:39,BTC,Kucoin
Buy,0.00414957,807.23,VET,0,COMPLETED,29/04/18 23:45,BTC,Kucoin
Buy,0.00321102,679.71,VET,0,COMPLETED,17/06/18 13:26,BTC,Kucoin
,,,,,,,,
